Elément,Appellation traditionnelle,Définition,Fonction,Relation,Dispositif environnemental,Illustration,Catégorie,Documentation/source
"Chicane","Sqifa","-un petit espace d’accès intermédiaire entre le niveau de la rue et celui du wastaldar (le  patio); -un endroit très sombre; -à peine éclairé par une petite ouverture percée sur le fronton de la porte; -un élément de transition entre l’aire public et l’espace privée; -dispose de deux portes : la première, bab al dar, porte de la maison marque la séparation entre l’intérieur et l’extérieur de la maison, la seconde, Bab Al Fasl isole la skiffa avec le Wast-al-dar (porte  de séparation).","Briser la vue vers le cœur de la maison depuis l’espace publique (Le M’zab une leçon d’architecture - André Ravéreau)","Espace servant pour le patio","Un espace tampon empêchant la pénétration facile de la température extérieure vers les espaces intérieurs et vers le patio","Pas d'image","Espace de transition","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques). Mémoire de magister: Evaluation de la qualité environnementale dans le scteur sauvegardé Cas d'étude la Casbah d'Alger, Djamel Merrad, 2012."
"Voute","","Les voûtes en berceau se trouvent dans les vestibules. Les voûtes d’arête se trouvent dans les rez de chaussée et dans les portiques ainsi que dans les skiffa. On peut les trouver aussi dans les sous-sol et même dans les pièces de terrasse.","Couvrir la skiffa, sous-sol, pièces de terrasse, portiques", "Couvrir les espaces","","Img\ImgEltsArchi\Voute.png","Elément de Structure","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Chambre","Bit","De forme allongée, elles sont éclairées à partir de la cour par une porte et deux fenêtres de part et d’autre. Elles s’ouvrent sous les galeries(au niveau du sol et à l’étages supérieurs) par une porte toujours ouverts pendant la journée. -son organisation spatiale est tripartite avec un espace centrale plus profond et deux espaces latéraux , marqués par les niches. - Le soubassement des murs des chambres est décoré d’une faïence avec des couleurs gaies entourent les murs ainsi que l’encadrement des fenêtres","Usage multiple (séjour pendant le jour, chambre à coucher pendant la nuit)","Entourant la galerie","","Chambre.png","Espace de vie","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Escaliers","Drouj","Passage entre un niveau et un autre ( un lieu en soi ) les escaliers sont à volées droites. La pente des marches est alliée au rampant du plafond qui se perpétue jusqu'à la sortie sur la terrasse; si cette pente émerge dans une pièce, le rampant viendra la recouvrir dans la pièce. L’escalier qui mène à l’étage est recouvert de voûtes en berceau, les marches sont recouverts de dalles de marbre blanc dans les grandes demeures, et de grés dans celles plus modestes. Les soubassement et les contre marches sont décorés de carreaux vernissés. Dans les grandes maisons et les palais;  la faïence marque le soubassement des murs. Un palier marque chaque changement de direction; au palier de l’étage se trouvent deux portes l’une permet l’accès au niveau supérieur et l’autre aux autres chambres","Permettre la circulation verticale entre les différents niveaux de la maison. Desservir les chambres à l’étage.","Contenu entre 2 murs et entre 2 étages","","Escaliers.png","Espace de transition","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Cuisine","Matbakh ou La khiama","Espace intime de la femme. Cette pièce est éclairée par les fenêtres ouvrant sur le vestibule.","","Donne sur la galerie","","Pas d'image","Espace de service","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Latrines","Bit al-Ma","Un espace ou s’effectue la toilette quotidienne. On peut le trouver près de l’entrée ou au dessous de l’escalier et à l’étage supérieur (dans un espace de récupération engendré par l’escalier).","","","","Latrines.png","Espace de service","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Buanderie","Bit al-Saboun","Elle se trouve généralement dans un espace au sous-sol de la maison où s’effectue la lessive. L’éclairage se fait par une ouverture (vasistas) qui donne sur la rue ou sur la wast al dar ; par un  puit de lumière percé dans le plafond.","","","","Pas d'image","Espace de service","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Puit","Bi’r ou Al Madjen","Capte les eaux souterraines utilisées  pour la consommation de la maison.","","","","Puit.png","Elément de récupération des eaux potables","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Citerne","Jeb","Récupère les eaux de pluie pour la lessive, les latrines, nettoyage …etc","Recueille les eaux de pluie provenant des terrasses et de la cour.","","","Pas d'image","Elément de récupération des eaux potables","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Chambre sur terrasse","Manzah","Pièce  pour le repos et détente. Cette pièce peut être mitoyenne à la maison située au dessus.","","Contenu dans la terasse","","Chambre sur terrasse.png","Espace de vie","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
