Elément,Appellation traditionnelle,Définition,Fonction,Relation,Dispositif environnemental,Illustration,Catégorie,Documentation/source
"Patio","West eddar","Cour intérieure à ciel ouvert autour de laquelle s’articulent les différents  composants de la maison.","","","Régulateur de température et source d’éclairage et d’ensoleillement","Patio.png","Espace de distribution","Rafik Boudjadja et Amina Boudjada : Conceptual modeling of the environmental devices of a Constantinian house with patio (2015)."
"K’bou","","Un défoncement d’une longueur moyenne de 2m, percée de fenêtres sur ses trois côtés qui fait face à la porte. La morphologie du k’bou est la même que ce soit pour une modeste maison ou un palais, il existe : - un k’bou couvert d’une coupole, -un k’bou couvert par un plancher en bois. Il se manifeste par un décrochement sur la façade avec une ouverture donnant sur la rue/ Ou bien un décrochement s’adossant sur le mur mitoyen. Un espace carré creusé dans le mur du fond d’une chambre longue et étroite en face de la grande porte ouverte sur l’extérieur.","Un lieu privilégié pour les réceptions, les conversations, les travaux calmes nécessitant l’adossement, réunion intime ou bien princière. Offre une perspective sur le wastaldar par la porte de la chambre ainsi que sur la rue par de petites ouvertures.","Contenu dans la chambre","","K’bou.png","Elément architectonique","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Chicane","Sqifa","-un petit espace d’accès intermédiaire entre le niveau de la rue et celui du wastaldar (le  patio); -un endroit très sombre; -à peine éclairé par une petite ouverture percée sur le fronton de la porte; -un élément de transition entre l’aire public et l’espace privée; -dispose de deux portes : la première, bab al dar, porte de la maison marque la séparation entre l’intérieur et l’extérieur de la maison, la seconde, Bab Al Fasl isole la skiffa avec le Wast-al-dar (porte  de séparation).","Briser la vue vers le cœur de la maison depuis l’espace publique (Le M’zab une leçon d’architecture - André Ravéreau)","Espace servant pour le patio","Un espace tampon empêchant la pénétration facile de la température extérieure vers les espaces intérieurs et vers le patio","Pas d'image","Espace de transition","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques). Mémoire de magister: Evaluation de la qualité environnementale dans le scteur sauvegardé Cas d'étude la Casbah d'Alger, Djamel Merrad, 2012."
"Galerie","Shin ou Rwaq","Un passage couvert dont la largeur varie selon la maison (palais ou modeste). La largeur se remarque selon la largeur de l’arc de contreventement (arc d’ogive) tout en gardant la même hauteur. Elle se développe sur les quatre côtés de la cour, d’où le système de quatre pans d’arcades. Caractérisé par une face ajourée d’arcades, surmontées à hauteur du premier niveau d’une ceinture de carreaux de céramique définissant les lignes forces et à la limite de la terrasse d’une ceinture au-dessus de laquelle se dresse une ligne de tuiles vertes.","Un rôle d’abri contre les intempéries.  Un rôle de desserte des appartements d’étage.","Bordée par les arcatures et les chambres","Espace tampon entre le patio (extérieur) et l’intérieur des chambres pour protéger les chambres du rayonnement solaire","Galerie.png","Espace de circulation","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques). Rafik Boudjadja et Amina Boudjada : Conceptual modeling of the environmental devices of a Constantinian house with patio (2015)."
"Toiture","Asskef","Un ouvrage permettant l’évacuation des eaux pluviales, dans la majorité des cas en quatre versants, réalisés en tuiles rouges et en charpente en bois dont trois versants donnent sur le patio.","","","Récupération et drainage des eaux  pluviales  vers  les  chutes  qui alimentent le Madjen","Toiture.png","Récupération des eaux pluviales","Rafik Boudjadja et Amina Boudjada : Conceptual modeling of the environmental devices of a Constantinian house with patio (2015)."
"Chambre","Bit","De forme allongée, elles sont éclairées à partir de la cour par une porte et deux fenêtres de part et d’autre. Elles s’ouvrent sous les galeries(au niveau du sol et à l’étages supérieurs) par une porte toujours ouverts pendant la journée. -son organisation spatiale est tripartite avec un espace centrale plus profond et deux espaces latéraux , marqués par les niches. - Le soubassement des murs des chambres est décoré d’une faïence avec des couleurs gaies entourent les murs ainsi que l’encadrement des fenêtres","Usage multiple (séjour pendant le jour, chambre à coucher pendant la nuit)","Entourant la galerie","","Chambre.png","Espace de vie","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Demi niveau ou espace a à mi-hauteur","Sadda","Des espaces latéraux surélevés à une hauteur variant en fonction de l’espace situé au dessous (chambre , escalier ou squifa).","Selon la hauteur obtenue, elle peut servir de chambre a coucher ou d’emmagasinage, espace pour les enfants.","","","Demi niveau ou espace a à mi-hauteur.png","Espace de vie","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Partie commerciale","El Ali","Extension de la maison sur la rue pour des raisons de commerce.","","","Réduction des nuisance sonores","Partie commerciale.png","Extension de la maison","Rafik Boudjadja et Amina Boudjada : Conceptual modeling of the environmental devices of a Constantinian house with patio (2015)."
"Puit","Bi’r ou Al Madjen","Capte les eaux souterraines utilisées  pour la consommation de la maison.","","","","Puit.png","Elément de récupération des eaux potables","PPSMVSS de la Casbah d’Alger (Manuel des  typologies architecturales, constructives et architectoniques)."
"Pièces surélevées","Doukana","Les deux extrémités de la pièce sont occupées par deux Doukanas surélevées de 20cm à 1m.","","","Les doukanas sont des  pièces éloignées du patio, ce qui leur aide à bénéficier  d’une grande inertie thermique","Pièces surélevées.png","Pièces d’habitation","Rafik Boudjadja et Amina Boudjada : Conceptual modeling of the environmental devices of a Constantinian house with patio (2015)."
